Generation, Average Distance, Standard Deviation, Longest, Shortest
0, 57646.8023, 3575.685593423268, 68187, 45120
1, 56115.7729, 3659.800699645486, 67479, 44662
2, 55124.0537, 3757.374238190323, 67252, 42458
3, 54464.0124, 3898.7383330567645, 67395, 40320
4, 54084.7988, 4111.499844693973, 66594, 40172
5, 53687.1276, 4286.00442814963, 66402, 40172
6, 53354.9393, 4342.186252801175, 65925, 38783
7, 53184.5924, 4425.353234540972, 66097, 38783
8, 53077.776, 4552.873470197036, 66742, 38781
9, 52856.3074, 4739.840814279023, 66463, 38252
10, 52654.8609, 4846.311447044152, 66411, 38252
11, 52482.0357, 4940.083533547334, 65472, 38252
12, 52339.0195, 4986.540300541023, 66798, 37370
13, 52257.8582, 5078.589431239028, 67153, 37370
14, 52125.6184, 5179.171012196975, 66699, 36017
15, 52011.9019, 5349.28814999495, 66064, 35847
16, 51885.2305, 5343.098440621298, 66961, 35847
17, 51683.983, 5496.111533922051, 66261, 34604
18, 51547.1359, 5631.420574387176, 66814, 34604
19, 51230.7899, 5630.7165678231395, 66012, 34604
20, 51119.8489, 5603.222337375949, 65604, 34604
21, 50877.4488, 5839.844510736442, 67069, 34604
22, 50786.1735, 5957.1711003292285, 66517, 34604
23, 50566.748, 5979.999661128419, 65637, 34604
24, 50409.7435, 5969.474799721308, 68009, 33940
25, 50247.6151, 6095.030658147011, 68105, 33940
26, 50080.2758, 6127.507500977405, 65481, 33541
27, 50042.6883, 6248.348455211433, 67410, 33519
28, 49931.1712, 6301.825942874856, 68108, 33519
29, 49874.1703, 6297.817538917582, 66375, 33519
30, 49520.5197, 6384.053747190096, 67043, 32962
31, 49328.8007, 6342.423370903231, 65501, 32962
32, 49400.9453, 6402.8632634554915, 65605, 31276
33, 49168.3524, 6403.397627589141, 66966, 31276
34, 49177.0979, 6392.802523316013, 64596, 31276
35, 49052.5988, 6546.601490715511, 64727, 31276
36, 48892.2719, 6584.982302859317, 67266, 31092
37, 48672.7348, 6520.404705021687, 65164, 31092
38, 48592.0391, 6559.148030054756, 65665, 30604
39, 48497.0586, 6693.125153496388, 64553, 30604
40, 48314.0047, 6794.003234034991, 67408, 30604
41, 48262.6269, 6731.642904469635, 65284, 30604
42, 48125.2114, 6807.177248647933, 67668, 30604
43, 47966.4905, 6851.563298394735, 64765, 30604
44, 47845.7396, 6873.114647857392, 68058, 30604
45, 47710.7454, 6919.761562884869, 65504, 30604
46, 47554.7261, 6923.44271492722, 64349, 29644
47, 47455.9298, 6984.039315716368, 65266, 29644
48, 47272.8088, 6975.654305242094, 66153, 29644
49, 47141.5059, 7031.439211794779, 66959, 28955
50, 46706.3594, 7121.789916757699, 67367, 28955
51, 46450.2124, 7045.175475081244, 64627, 28955
52, 46118.7213, 7048.074670888945, 65269, 28955
53, 45947.4256, 7116.650423469221, 65932, 28955
54, 45494.0831, 7065.90497166459, 64480, 28390
55, 45074.238, 6957.006947341363, 64640, 28390
56, 44714.4025, 6820.078374527213, 66748, 28390
57, 44336.903, 6827.902927912128, 64343, 28326
58, 43967.9232, 6704.968533207428, 64336, 28326
59, 43551.484, 6473.419738140266, 63790, 28326
60, 43354.6145, 6558.795915798094, 64946, 27443
